id,Weight_PID,xspanish,complete_status,ppage,ppeduc5,ppeducat,ppgender,ppethm,pphhsize,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,PPWORKA,ppemploy,xparent,Q1_1,Q1_2,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q5,Q6,Q260,Q26a,QPID,ABCAGE,Contact
258570122,.7112,English,qualified,65,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Nevada,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Very important,Very important,Not so important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Republicans,Neither,Neither,Republicans,Republicans,Democrats,Republicans,Republicans,Republicans,Neither,Neither,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,Catholic,No,A Republican,65+,"Yes, I am willing to be interviewed"
258570123,.758,English,qualified,81,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Louisiana,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,A Democrat,65+,"No, I am not willing to be interviewed"
258570124,.5481,English,qualified,73,High school graduate (high school diploma or the equivalent GED),High school,Female,"Black, Non-Hispanic",4,"$75,000 to $99,999",Widowed,Metro,NorthEast,Rented for cash,New York,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would not vote,Would make no difference in your vote,Catholic,No,A Democrat,65+,"No, I am not willing to be interviewed"
258570125,.9265,English,qualified,65,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",5,"$100,000 to $149,999",Now Married,Metro,West,Rented for cash,California,Self-employed,Working part-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Very important,Very important,Not so important,Very important,Somewhat important,Very important,Not important at all,Somewhat important,Somewhat important,Very important,Somewhat important,Republicans,Republicans,Neither,Republicans,Republicans,Neither,Neither,Republicans,Republicans,Neither,Democrats,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
258570126,1.2154,English,qualified,53,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$75,000 to $99,999",Divorced,Metro,MidWest,Owned or being bought by you or someone in your household,Minnesota,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Neither,Neither,Democrats,Neither,Neither,Democrats,Democrats,Neither,Neither,Democrats,Neither,Would make no difference in your vote,More likely to vote for the Democratic candidate in that election,Other Christian religion,No,An Independent,50-64,"No, I am not willing to be interviewed"
258570127,.9359,English,qualified,56,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$75,000 to $99,999",Never married,Metro,West,Owned or being bought by you or someone in your household,Alaska,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important at all,Somewhat important,Somewhat important,Not so important,Somewhat important,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,No religion, ,An Independent,50-64,"No, I am not willing to be interviewed"
258570128,.8377,English,qualified,76,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Never married,Metro,MidWest,Owned or being bought by you or someone in your household,Michigan,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would not vote,More likely to vote for the Democratic candidate in that election,Catholic,No,A Democrat,65+,"No, I am not willing to be interviewed"
258570129,.987,English,qualified,32,High school graduate (high school diploma or the equivalent GED),High school,Male,"Black, Non-Hispanic",1,"$50,000 to $74,999",Never married,Metro,West,Rented for cash,Washington,Other,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,More likely to vote for the Republican candidate in that election,Less likely to vote for the Democratic candidate in that election,Other Christian religion,Yes,An Independent,30-49,"Yes, I am willing to be interviewed"
258570130,1.2194,English,qualified,29,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",5,"$75,000 to $99,999",Now Married,Non-Metro,West,Owned or being bought by you or someone in your household,Idaho,Homemaker,Working part-time,parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Neither,Neither,Neither,Neither,Republicans,Neither,Neither,Republicans,Republicans,Neither,Neither,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,Mormon,Yes,A Republican,18-29,"Yes, I am willing to be interviewed"
258570131,.6624,English,qualified,72,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$150,000 or more",Widowed,Metro,MidWest,Owned or being bought by you or someone in your household,Ohio,Retired,Not working,missing data,Favorable,Unfavorable,Wrong direction,Very important,Very important,Not so important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,A Republican,65+,"No, I am not willing to be interviewed"
258570132,.6901,English,qualified,72,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Not so important,Very important,Very important,Not so important,Somewhat important,Very important,Not so important,Very important,Very important,Republicans,Republicans,Neither,Neither,Republicans,Republicans,Neither,Neither,Both,Republicans,Neither,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,A Republican,65+,"No, I am not willing to be interviewed"
258570133,1.1676,English,qualified,36,Bachelor’s degree,Bachelors degree or higher,Female,"2+ Races, Non-Hispanic",3,"$10,000 to $24,999",Now Married,Non-Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Currently laid off,Working full-time,parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Somewhat important,Very important,Very important,Very important,Not important at all,Very important,Not important at all,Not important at all,Very important,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,No religion, ,A Democrat,30-49,"No, I am not willing to be interviewed"
258570134,.8435,English,qualified,59,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Divorced,Metro,MidWest,Owned or being bought by you or someone in your household,Michigan,Retired,Not working,not parents of children 0-17 YO,No opinion,Unfavorable,Wrong direction,Very important,Very important,Very important,Very important,Very important,Very important,Not so important,Somewhat important,Somewhat important,Somewhat important,Not so important,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Would not vote,Would not vote,Catholic,No,Something else,50-64,"Yes, I am willing to be interviewed"
258570135,.835,English,qualified,71,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Minnesota,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Not so important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Republicans,Republicans,Both,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Both,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
258570136,1.0929,English,qualified,77,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,South,Occupied without payment of cash rent,North Carolina,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Somewhat important,Not so important,Very important,Very important,Not so important,Somewhat important,Very important,Somewhat important,Not so important,Somewhat important,Republicans,Republicans,Neither,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,A Republican,65+,"No, I am not willing to be interviewed"
258570137,.754,English,qualified,74,Master’s degree or above,Bachelors degree or higher,Male,"2+ Races, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Nevada,Retired,Not working,not parents of children 0-17 YO,No opinion,Unfavorable,Wrong direction,Very important,Very important,Not important at all,Very important,Very important,Not important at all,Not so important,Very important,Somewhat important,Somewhat important,Very important,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Both,Republicans,Republicans,Republicans,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,Jewish, ,An Independent,65+,"Yes, I am willing to be interviewed"
258570138,.5936,English,qualified,95,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$150,000 or more",Widowed,Metro,South,Rented for cash,Florida,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Democrats,Both,Both,Democrats,Neither,Neither,Democrats,Democrats,Democrats,Democrats,Both,Would make no difference in your vote,Would make no difference in your vote,Jewish, ,A Democrat,65+,"No, I am not willing to be interviewed"
258570139,.5936,English,qualified,65,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Right direction,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Not so important,Somewhat important,Republicans,Both,Democrats,Neither,Republicans,Democrats,Democrats,Both,Both,Both,Both,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,No religion, ,A Democrat,65+,"Yes, I am willing to be interviewed"
258570140,.7468,English,qualified,67,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Never married,Non-Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Retired,Working part-time,not parents of children 0-17 YO,Unfavorable,No opinion,Wrong direction,Not important at all,Not so important,Very important,Not important at all,Somewhat important,Somewhat important,Very important,Very important,Not so important,Very important,Not important at all,Neither,Neither,Democrats,Neither,Democrats,Neither,Republicans,Neither,Both,Neither,Neither,Would make no difference in your vote,Would make no difference in your vote,Jewish, ,An Independent,65+,"Yes, I am willing to be interviewed"
258570141,1.1601,English,qualified,55,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",3,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Kentucky,Homemaker,Not working,parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Republicans,Neither,Democrats,Republicans,Republicans,Democrats,Democrats,Neither,Neither,Both,Neither,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,Catholic,No,An Independent,50-64,"No, I am not willing to be interviewed"
258570142,1.2431,English,qualified,53,No high school diploma or GED,Less than high school,Female,"White, Non-Hispanic",3,"$25,000 to $49,999",Never married,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Employed part-time (by someone else),Working part-time,parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Skipped,Neither,Neither,Republicans,Republicans,Neither,Neither,Republicans,Republicans,Republicans,Republicans,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,No religion, ,A Republican,50-64,"No, I am not willing to be interviewed"
258570143,1.2481,English,qualified,36,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",3,"$75,000 to $99,999",Never married,Metro,NorthEast,Owned or being bought by you or someone in your household,Connecticut,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,No opinion,Wrong direction,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,An Independent,30-49,"No, I am not willing to be interviewed"
258570144,.5014,English,qualified,64,Bachelor’s degree,Bachelors degree or higher,Female,"Black, Non-Hispanic",1,"$100,000 to $149,999",Never married,Metro,MidWest,Owned or being bought by you or someone in your household,Kansas,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Less likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,A Democrat,50-64,"Yes, I am willing to be interviewed"
258570145,.902,English,qualified,76,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,West Virginia,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Neither,Neither,Democrats,Neither,Democrats,Neither,Democrats,Democrats,Neither,Neither,Democrats,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,A Democrat,65+,"No, I am not willing to be interviewed"
258570146,.714,English,qualified,32,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,NorthEast,Rented for cash,Pennsylvania,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,More likely to vote for the Democratic candidate in that election,No religion, ,A Democrat,30-49,"No, I am not willing to be interviewed"
258570147,.6827,English,qualified,48,Master’s degree or above,Bachelors degree or higher,Female,"Black, Non-Hispanic",5,"$150,000 or more",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Illinois,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Skipped,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Democrats,Both,Democrats,Skipped,Skipped,Democrats,Democrats,Democrats,Both,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,A Democrat,30-49,"No, I am not willing to be interviewed"
258570148,.7996,English,qualified,57,Master’s degree or above,Bachelors degree or higher,Female,"Black, Non-Hispanic",1,"$100,000 to $149,999",Never married,Metro,South,Owned or being bought by you or someone in your household,Texas,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Republicans,Republicans,Democrats,Republicans,Republicans,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,An Independent,50-64,"Yes, I am willing to be interviewed"
258570149,1.175,English,qualified,48,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Minnesota,Employed part-time (by someone else),Working part-time,parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Democrats,Both,Democrats,Democrats,Both,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,Catholic,No,An Independent,30-49,"No, I am not willing to be interviewed"
258570150,.7608,English,qualified,62,High school graduate (high school diploma or the equivalent GED),High school,Male,"2+ Races, Non-Hispanic",Six or more,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Very important,Very important,Somewhat important,Very important,Not important at all,Very important,Not important at all,Not so important,Not so important,Very important,Somewhat important,Democrats,Both,Both,Democrats,Democrats,Neither,Democrats,Both,Both,Democrats,Democrats,Would not vote,More likely to vote for the Democratic candidate in that election,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,A Democrat,50-64,"No, I am not willing to be interviewed"
258570151,.9064,English,qualified,58,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Washington,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Republicans,Republicans,Democrats,Democrats,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,No religion, ,An Independent,50-64,"Yes, I am willing to be interviewed"
258570152,.8371,English,qualified,82,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",3,"$50,000 to $74,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Not so important,Very important,Very important,Somewhat important,Not so important,Both,Democrats,Democrats,Both,Democrats,Democrats,Democrats,Democrats,Republicans,Both,Both,Would make no difference in your vote,More likely to vote for the Democratic candidate in that election,Jewish, ,A Democrat,65+,"No, I am not willing to be interviewed"
258570153,.6895,English,qualified,69,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,North Carolina,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Republicans,Republicans,Neither,Republicans,Republicans,Republicans,Both,Both,Neither,Republicans,Republicans,Would make no difference in your vote,More likely to vote for the Democratic candidate in that election,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,A Republican,65+,"No, I am not willing to be interviewed"
258570154,.9865,English,qualified,73,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,NorthEast,Rented for cash,New York,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Would make no difference in your vote,Would make no difference in your vote,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
258570155,.6703,English,qualified,61,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Employed part-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Not important at all,Very important,Not so important,Somewhat important,Not important at all,Not important at all,Very important,Not important at all,Not important at all,Somewhat important,Very important,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Would not vote,Would not vote,Catholic,No,Something else,50-64,"No, I am not willing to be interviewed"
258570156,.9015,English,qualified,81,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Non-Metro,West,Owned or being bought by you or someone in your household,Washington,Retired,Not working,not parents of children 0-17 YO,Unfavorable,No opinion,Wrong direction,Very important,Very important,Very important,Very important,Not so important,Very important,Not important at all,Somewhat important,Very important,Somewhat important,Very important,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,Skipped, ,Something else,65+,"Yes, I am willing to be interviewed"
258570157,1.0678,English,qualified,48,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",3,"$50,000 to $74,999",Never married,Metro,South,Owned or being bought by you or someone in your household,Florida,Self-employed,Working part-time,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Not so important,Not so important,Somewhat important,Very important,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,Catholic,No,An Independent,30-49,"Yes, I am willing to be interviewed"
258570158,1.3325,English,qualified,40,No high school diploma or GED,Less than high school,Male,"White, Non-Hispanic",4,"$50,000 to $74,999",Now Married,Non-Metro,South,Owned or being bought by you or someone in your household,Kentucky,Employed full-time (by someone else),Working part-time,parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Somewhat important,Not so important,Very important,Somewhat important,Not so important,Somewhat important,Very important,Not so important,Somewhat important,Very important,Republicans,Both,Democrats,Republicans,Republicans,Republicans,Both,Both,Democrats,Republicans,Democrats,Less likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,A Democrat,30-49,"Yes, I am willing to be interviewed"
258570159,.6976,English,qualified,64,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$50,000 to $74,999",Divorced,Metro,South,Owned or being bought by you or someone in your household,West Virginia,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,Catholic,No,A Democrat,50-64,"Yes, I am willing to be interviewed"
258570160,1.0977,English,qualified,64,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Skipped,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Neither,Neither,Neither,Neither,Neither,Skipped,Neither,Neither,Neither,Skipped,Neither,Would make no difference in your vote,Would make no difference in your vote,Catholic,No,An Independent,50-64,"No, I am not willing to be interviewed"
258570161,1.0576,English,qualified,71,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",4,"$50,000 to $74,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Not important at all,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,A Republican,65+,"No, I am not willing to be interviewed"
258570162,1.7092,English,qualified,41,High school graduate (high school diploma or the equivalent GED),High school,Male,Hispanic,4,"$10,000 to $24,999",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Nebraska,Homemaker,Not working,parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Somewhat important,Somewhat important,Very important,Not so important,Not so important,Not so important,Somewhat important,Not so important,Very important,Very important,Republicans,Republicans,Neither,Republicans,Republicans,Neither,Republicans,Republicans,Neither,Republicans,Neither,Would make no difference in your vote,Would make no difference in your vote,No religion, ,A Republican,30-49,"No, I am not willing to be interviewed"
258570163,.6623,English,qualified,52,Master’s degree or above,Bachelors degree or higher,Male,"Black, Non-Hispanic",2,"$75,000 to $99,999",Never married,Metro,South,Rented for cash,North Carolina,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Very important,Somewhat important,Very important,Very important,Not so important,Very important,Somewhat important,Somewhat important,Not so important,Very important,Somewhat important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Skipped,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,A Democrat,50-64,"Yes, I am willing to be interviewed"
